id,longitude,latitude,neighborhood_id
0,-73.97237,40.647490000000005,0
1,-73.98376999999999,40.75362,1
2,-73.9419,40.809020000000004,2
3,-73.95976,40.685140000000004,3
4,-73.94399,40.79851,4
5,-73.975,40.74767,5
6,-73.95596,40.68688,6
7,-73.98493,40.76489,7
8,-73.96723,40.80178,8
9,-73.99037,40.713440000000006,9
10,-73.96545,40.80316,8
11,-73.98867,40.76076,7
12,-73.98779,40.66829,12
13,-73.96113000000001,40.79826,8
14,-74.00525,40.7353,14
15,-73.95352,40.70837,15
16,-73.97185,40.69169,16
17,-73.99501,40.74192,17
18,-73.94694,40.67592,18
19,-73.94872,40.79685,4
20,-73.95718000000001,40.71842,15
21,-73.97706,40.680690000000006,21
22,-73.97798,40.67989,21
23,-73.97865,40.680009999999996,21
24,-73.94028,40.68371,6
25,-73.97519,40.65599,25
26,-73.92639,40.867540000000005,26
27,-73.98533,40.76715,7
28,-73.92106,40.86482,26
29,-73.98541999999999,40.7292,29
30,-73.95104,40.82245,2
31,-73.95466,40.81305,2
32,-73.93762,40.722190000000005,32
33,-73.95318,40.8213,2
34,-73.95473,40.6831,6
35,-73.9878,40.668690000000005,12
36,-73.94312,40.688759999999995,6
37,-73.92745,40.701859999999996,37
38,-73.96327,40.63702,38
39,-73.98917,40.714009999999995,39
40,-73.98199,40.7229,29
41,-73.97966,40.66278,12
42,-73.97584,40.69673,16
43,-73.97927,40.79009,8
44,-73.94478000000001,40.81175,2
45,-73.96238000000001,40.659440000000004,45
46,-73.9474,40.74771,46
47,-73.95591,40.68111,6
48,-73.9409,40.68554,6
49,-73.97376,40.69142,16
50,-73.93934,40.68043,6
51,-73.97008000000001,40.78635,8
52,-73.9356,40.7042,15
53,-73.95392,40.73506,32
54,-73.98074,40.73961,54
55,-73.9593,40.70881,15
56,-73.99104,40.720040000000004,39
57,-73.99293,40.755309999999994,7
58,-73.93788,40.72401,32
59,-73.99775,40.7221,59
60,-73.96204,40.71185,15
61,-73.9953,40.74623,17
62,-73.95269,40.77065,62
63,-73.96428,40.67811,63
64,-73.96788000000001,40.69,3
65,-73.99119,40.75979,7
66,-73.98338000000001,40.673429999999996,21
67,-73.97904,40.726490000000005,29
68,-73.96791999999999,40.70933,15
69,-73.98474,40.72298,29
70,-73.93921999999999,40.80164,4
71,-73.98008,40.72162,29
72,-73.98865,40.76342,7
73,-73.94095,40.83139,73
74,-73.96374,40.68346,3
75,-73.98801,40.72828,29
76,-73.95058,40.76865,62
