id,dbn,name,num_test_takers,reading_avg,math_avg,writing_score
283,15K497,SCHOOL FOR INTERNATIONAL STUDIES,64.0,405.0,415.0,392.0
284,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77.0,398.0,402.0,385.0
285,15K520,PACIFIC HIGH SCHOOL,9.0,352.0,341.0,300.0
286,15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,,,,
287,15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28.0,368.0,365.0,368.0
288,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141.0,426.0,421.0,411.0
289,15K667,SUNSET PARK HIGH SCHOOL,,,,
290,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8.0,430.0,416.0,425.0
291,16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20.0,355.0,355.0,358.0
292,16K455,BOYS AND GIRLS HIGH SCHOOL,131.0,365.0,370.0,362.0
293,16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46.0,362.0,372.0,358.0
294,16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36.0,370.0,372.0,351.0
295,16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,,,,
296,17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59.0,396.0,374.0,369.0
297,17K408,ACADEMY OF HOSPITALITY AND TOURISM,57.0,352.0,342.0,351.0
298,17K467,ERASMUS YABC,,,,
299,17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7.0,394.0,364.0,334.0
300,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71.0,287.0,335.0,291.0
301,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46.0,403.0,385.0,388.0
302,17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35.0,348.0,381.0,359.0
303,17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38.0,377.0,404.0,372.0
304,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73.0,338.0,349.0,340.0
305,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61.0,362.0,375.0,368.0
306,17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69.0,457.0,462.0,441.0
307,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54.0,386.0,391.0,369.0
